ecosystem,ECT,verbatimeName,indicatorName,indicatorID,reportingYears,ect
mountain,A1 Fysiske egenskaper,Isbreer,Glaciers,NO_GLAC_001,NA,A1
mountain,A1 Fysiske egenskaper,Snødybde,Snow depth,NO_SNOW_001,NA,A1
mountain,B1 Biologisk mangfold,Fjellrev,Arctic fox,NO_AFOX_001,NA,B1
mountain,B1 Biologisk mangfold,Fremmede plantearter,Alien plant species,NO_ALIE_002,NA,B1
mountain,B1 Biologisk mangfold,Kongeørn,Golden eagle,NO_GOLD_001,NA,B1
mountain,B1 Biologisk mangfold,Jerv,Wolverine,NO_JERV_001,NA,B1
mountain,B1 Biologisk mangfold,Fjellrype,Ptarmigan,NO_PTAR_001,NA,B1
mountain,B1 Biologisk mangfold,Varmepåvirkning på vegetasjon,Warming impact on vegetation,NO_FUHR_002,NA,B1
mountain,B2 Strukturelle egenskaper,Reinlav,Lichen biomass,NO_LAVH_001,NA,B2
mountain,B3 Funksjonelle egenskaper,Smågnagere,Small rodents,NO_RODE_001,NA,B3
mountain,B3 Funksjonelle egenskaper,Slitasje,Erosive disturbance,NO_SLIT_001,NA,B3
